,"['dim_reduction_after', 'n_clusters', 'n_neighbors']=(False, 3, 50)","['dim_reduction_after', 'n_clusters', 'n_neighbors']=(True, 3, 50)"
0,0.15113985342163436,0.24851058413223576
1,0.16252162324553204,0.2531575795902024
2,0.26132291787611656,0.2833923445626946
3,0.18867200535253845,0.2626262731084468
4,0.08434449428966898,0.25708905168326507
5,0.08909326668712715,0.26912588395303766
6,0.1643183543574151,0.25159518859780267
7,0.20333744422110678,0.2492427932160123
8,0.21503343738296993,0.2428607083971254
9,0.2346957429149548,0.25486119822604564

Max mean silhouette_score:,-4.487709855699277
Max mean Generated by:,"(True, 3, 50)"
t-test p-value score:,0.0015155049277703096
