,"['dim_reduction_after', 'eps', 'min_samples']=(False, 5, 7)","['dim_reduction_after', 'eps', 'min_samples']=(False, 5, 8)"
0,-0.003395941344017402,-0.013710941013331937
1,0.05537111691209538,0.014934931751030799
2,0.022183856347960995,0.026452627946705488
3,-0.04446685914064342,-0.035212366670889006
4,-0.02546765524094587,-0.044413012790059346
5,0.053192243178692235,0.028595089798815216
6,0.03146332136332091,-0.02991802724322486
7,0.019385736851650855,-0.033646330424655806
8,-0.039502196582384214,-0.11157064590913206
9,-0.0142582746439309,-0.015296449761604084

Max mean silhouette_score:,0.005450534770179857
Max mean Generated by:,"(False, 5, 7)"
t-test p-value score:,0.01592060937242751
