,"['dim_reduction_after', 'n_clusters', 'n_neighbors']=(False, 3, 50)","['dim_reduction_after', 'n_clusters', 'n_neighbors']=(True, 3, 50)"
0,0.26937533036399597,0.270707299922684
1,0.2687840635638818,0.2751448354169642
2,0.2864132316949917,0.28727383092555864
3,0.2701840775854766,0.27276397961264764
4,0.2673649510976349,0.27082489697413437
5,0.2667693720379868,0.27533620041078777
6,0.2641471244531653,0.2667377508285516
7,0.25764926007217265,0.259411643540912
8,0.2541068286296055,0.25699508583541264
9,0.27022510844927866,0.2701897664614869

Max mean silhouette_score:,-3.6901544315318957
Max mean Generated by:,"(True, 3, 50)"
t-test p-value score:,0.004996188557254319
