,"['dim_reduction_after', 'eps', 'min_samples']=(False, 1.5, 25)","['dim_reduction_after', 'eps', 'min_samples']=(False, 1.5, 20)"
0,0.20576238048209522,0.1649296206696686
1,0.2325093456004521,0.21659425110405958
2,0.22824134886981584,0.2331773232882345
3,0.24022029663804265,0.21618812130719853
4,0.19356218530547023,0.15885181851679567
5,0.21041967913591106,0.23319791155528868
6,0.2347948585992607,0.16487369663328885
7,0.225230999435614,0.1456027433524994
8,0.2217692755535888,0.22499003472450751
9,0.19948727598420068,0.1691207420918301

Max mean silhouette_score:,2.5859358008014124
Max mean Generated by:,"(False, 1.5, 25)"
t-test p-value score:,0.02940887412953372
