,"['dim_reduction_after', 'n_clusters']=(False, 3)","['dim_reduction_after', 'n_clusters']=(True, 3)"
0,0.2564817260956355,0.24851058413223576
1,0.2746881077715126,0.2531575795902024
2,0.28145379521551933,0.2833923445626946
3,0.2673591750144249,0.2626262731084468
4,0.26223462962687755,0.25708905168326507
5,0.2650324979856895,0.26912588395303766
6,0.2647391808809771,0.25159518859780267
7,0.2532872941425544,0.2492427932160123
8,0.2511604211925747,0.2428607083971254
9,0.246999526239963,0.25486119822604564

Null hypothesis of t-test accepted with pvalue,0.09171212377401268
