,"['dim_reduction_after', 'n_clusters', 'n_neighbors']=(False, 3, 50)","['dim_reduction_after', 'n_clusters', 'n_neighbors']=(True, 3, 50)"
0,0.2684576705215808,0.26954955466433833
1,0.2728297389531697,0.2757131650451265
2,0.2864132316949917,0.28727383092555864
3,0.27135854218385635,0.27276397961264764
4,0.26915590310322784,0.27082489697413437
5,0.26842228537013135,0.27533620041078777
6,0.2668992860581262,0.2667377508285516
7,0.2583084693300752,0.259411643540912
8,0.25674976688013684,0.25699508583541264
9,0.2693897199246232,0.27045077138423534

Max s_score score,-2.6958867344241266
t-test p-value score,0.024558579731040153
