,"['dim_reduction_after', 'n_clusters', 'n_neighbors']=(False, 3, 50)","['dim_reduction_after', 'n_clusters', 'n_neighbors']=(True, 3, 50)"
0,0.1727513908112727,0.26977170041631704
1,0.21172302709152857,0.2751448354169642
2,0.26190646026775777,0.28765943031597135
3,0.1824542916995428,0.27276397961264764
4,0.1231426980444415,0.27082489697413437
5,0.15783567775844023,0.27533620041078777
6,0.15969021858798407,0.26637244478941485
7,0.17683534469089437,0.259411643540912
8,0.2064901240823971,0.25699508583541264
9,0.19357940540824203,0.2701897664614869

Max s_score score,-7.81001574872068
t-test p-value score,2.6806754988644764e-05
