,"['n_clusters']=(2,)","['n_clusters']=(8,)","['n_clusters']=(10,)"
0,0.30129238791755236,-0.08943709054361465,-0.06314864397686833
1,0.31488038517266925,0.03316750320002074,0.03265484864665342
2,0.28324731859990504,-0.09519407677076773,-0.10183610113725498
3,0.30556349832925267,0.09505071165937233,0.049969011996609906
4,0.3312976618160291,-0.11631482256314077,-0.1325553172599002
5,0.30684201761645874,-0.08513186825270146,-0.07748012542466289
6,0.2969025720970654,0.04360569348964637,0.06943164792776671
7,0.2753608929741882,-0.09996159849397857,-0.08208053239309565
8,0.2852829575361866,-0.016705156471433242,-0.10181673440673283
9,0.31074112076858396,-0.09178697776150495,-0.10095056591706321
mean,0.3011410812827891,-0.04227076825081019,-0.05078125119445481

Max mean silhouette:,0.3011410812827891
Max mean Generated by:,"(2,)"
anova p-value score:,1.3509535587475138e-13
t-test p-value score:,1.793809269362753e-07
