,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.3009860890786329,0.0005695657087755068,0.6177804636434057,0.007896705684164784
1,0.30732501529379774,0.0008228989363708245,0.6371489186545112,0.007455338265119793
2,0.29466568226594997,0.0005498852917906068,0.5901188972119424,0.006463752164072745
3,0.29989369564505625,0.0006599246528438672,0.6402755568846712,0.007199923920887363
4,0.31014480525834165,0.0008222517095001136,0.639965604840785,0.00708837345818808
5,0.30155001391797054,0.0005354130914891225,0.6396589004548285,0.006438874571205455
6,0.2969711356406524,0.0003659257758386477,0.620228264238291,0.006051720972545749
7,0.29558303392883006,0.00041549371034689986,0.5851925143254837,0.006517596200389997
8,0.2968199316483948,0.0005461193872336883,0.5937256579894196,0.009139315062418218
9,0.3025327218102306,0.0007617155524668556,0.6362732015663054,0.008125591844155178
mean,0.3006472124487857,0.0006049193816656133,0.6200367979809643,0.007237719214314736

Max mean mi:,0.6200367979809643
Max mean Generated by:,iYearwrk
anova p-value score:,2.9823726502553307e-49
t-test p-value score:,1.3885578228878384e-12
